,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name,Qualifying Exam
1,1,98603 (79.35),315461210,"3154 - Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi
Mumbai",Mechanical Engineering,Diploma
2,2,98606 (78.24),664929310,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Electrical Engineering,Diploma
3,3,98607 (78.24),211661210,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Mechanical Engineering,Diploma
4,4,98612 (77.33),252219110,"2522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Civil Engineering,Diploma
5,5,98616 (76.94),253361210,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Mechanical Engineering,Diploma
6,6,98623 (74),126561210,"1265 - Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Mechanical Engineering,Diploma
7,7,98634 (70.94),321861210,"3218 - Aldel Education Trust's St. John College of Engineering & Management, Vevoor,
Palghar",Mechanical Engineering,Diploma
8,8,98636 (70.85),112089310,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Textile Engineering / Technology,Diploma
9,9,98649 (67.76),631737210,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Electronics and Telecommunication
Engg",Diploma
10,10,98651 (67.56),314629310,"3146 - Jawahar Education Society's Annasaheb Chudaman Patil College of
Engineering,Kharghar, Navi Mumbai",Electrical Engineering,Diploma
11,11,98654 (66.94),631761210,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Mechanical Engineering,Diploma
12,12,98657 (66.18),320037210,"3200 - Hope Foundation and research center's  Finolex Academy of Management and
Technology, Ratnagiri","Electronics and Telecommunication
Engg",Diploma
13,13,98662 (65.82),253329310,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Electrical Engineering,Diploma
14,14,98665 (65.63),630819110,"6308 - Shanti Education Society, A.G. Patil Institute of Technology, Soregaon,
Solapur(North)",Civil Engineering,Diploma
15,15,98670 (65.21),211319120,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Civil Engineering,Diploma
16,16,98674 (64.65),322361210,"3223 - Mahatma Education Society's Pillai HOC College of Engineering & Technology,
Tal. Khalapur. Dist. Raigad",Mechanical Engineering,Diploma
17,17,98681 (64.35),627761210,"6277 - Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering,
Jaysingpur",Mechanical Engineering,Diploma
18,18,98689 (62.71),664419110,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Civil Engineering,Diploma
19,19,98699 (61.15),343919110,"3439 - Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Civil Engineering,Diploma
20,20,98703 (60.18),212929810,"2129 - M.S. Bidve Engineering College, Latur",Electrical Engg [Electrical and Power],Diploma
21,21,98705 (60),211361210,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,Diploma
22,22,98707 (59.94),322161210,"3221 - Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology,
Shirgaon",Mechanical Engineering,Diploma
23,23,98710 (59.09),683919110,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Civil Engineering,Diploma
24,24,98711 (58.79),631719110,"6317 - Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Civil Engineering,Diploma
25,25,98713 (58.48),621729310,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",Electrical Engineering,Diploma
26,26,98721 (56.41),322424510,"3224 - Leela Education Society, G.V. Acharya Institute of Engineering and Technology,
Shelu, Karjat",Computer Engineering,Diploma
27,27,98728 (54.69),676237210,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.","Electronics and Telecommunication
Engg",Diploma
28,28,98729 (53.82),213719110,"2137 - Nagnathappa Halge Engineering  College, Parli, Beed",Civil Engineering,Diploma
29,29,98730 (51.82),347119110,"3471 - New Horizon Institute of Technology & Management, Thane",Civil Engineering,Diploma
30,30,98731 (51.52),461319110,"4613 - Suryodaya College of Engineering & Technology, Nagpur",Civil Engineering,Diploma
